Per°odo;1ß Quartil - Pa°s - Apartamentos;Mediana - Pa°s - Apartamentos;3ß Quartil - Pa°s - Apartamentos;1ß Quartil - Continente - Apartamentos;Mediana - Continente - Apartamentos;3ß Quartil - Continente - Apartamentos;1ß Quartil - Norte - Apartamentos;Mediana - Norte - Apartamentos;3ß Quartil - Norte - Apartamentos;1ß Quartil - Alto Minho - Apartamentos;Mediana - Alto Minho - Apartamentos;3ß Quartil - Alto Minho - Apartamentos;1ß Quartil - C†vado - Apartamentos;Mediana - C†vado - Apartamentos;3ß Quartil - C†vado - Apartamentos;1ß Quartil - Ave - Apartamentos;Mediana - Ave - Apartamentos;3ß Quartil - Ave - Apartamentos;1ß Quartil - µrea Metropolitana do Porto - Apartamentos;Mediana - µrea Metropolitana do Porto - Apartamentos;3ß Quartil - µrea Metropolitana do Porto - Apartamentos;1ß Quartil - Alto TÉmega - Apartamentos;Mediana - Alto TÉmega - Apartamentos;3ß Quartil - Alto TÉmega - Apartamentos;1ß Quartil - TÉmega e Sousa - Apartamentos;Mediana - TÉmega e Sousa - Apartamentos;3ß Quartil - TÉmega e Sousa - Apartamentos;1ß Quartil - Douro - Apartamentos;Mediana - Douro - Apartamentos;3ß Quartil - Douro - Apartamentos;1ß Quartil - Terras de Tr†s-os-Montes - Apartamentos;Mediana - Terras de Tr†s-os-Montes - Apartamentos;3ß Quartil - Terras de Tr†s-os-Montes - Apartamentos;1ß Quartil - Centro - Apartamentos;Mediana - Centro - Apartamentos;3ß Quartil - Centro - Apartamentos;1ß Quartil - Oeste - Apartamentos;Mediana - Oeste - Apartamentos;3ß Quartil - Oeste - Apartamentos;1ß Quartil - Regi∆o de Aveiro - Apartamentos;Mediana - Regi∆o de Aveiro - Apartamentos;3ß Quartil - Regi∆o de Aveiro - Apartamentos;1ß Quartil - Regi∆o de Coimbra - Apartamentos;Mediana - Regi∆o de Coimbra - Apartamentos;3ß Quartil - Regi∆o de Coimbra - Apartamentos;1ß Quartil - Regi∆o de Leiria - Apartamentos;Mediana - Regi∆o de Leiria - Apartamentos;3ß Quartil - Regi∆o de Leiria - Apartamentos;1ß Quartil - Viseu D∆o Laf‰es - Apartamentos;Mediana - Viseu D∆o Laf‰es - Apartamentos;3ß Quartil - Viseu D∆o Laf‰es - Apartamentos;1ß Quartil - Beira Baixa - Apartamentos;Mediana - Beira Baixa - Apartamentos;3ß Quartil - Beira Baixa - Apartamentos;1ß Quartil - MÇdio Tejo - Apartamentos;Mediana - MÇdio Tejo - Apartamentos;3ß Quartil - MÇdio Tejo - Apartamentos;1ß Quartil - Beiras e Serra da Estrela - Apartamentos;Mediana - Beiras e Serra da Estrela - Apartamentos;3ß Quartil - Beiras e Serra da Estrela - Apartamentos;1ß Quartil - µrea Metropolitana de Lisboa - Apartamentos;Mediana - µrea Metropolitana de Lisboa - Apartamentos;3ß Quartil - µrea Metropolitana de Lisboa - Apartamentos;1ß Quartil - Alentejo - Apartamentos;Mediana - Alentejo - Apartamentos;3ß Quartil - Alentejo - Apartamentos;1ß Quartil - Alentejo Litoral - Apartamentos;Mediana - Alentejo Litoral - Apartamentos;3ß Quartil - Alentejo Litoral - Apartamentos;1ß Quartil - Baixo Alentejo - Apartamentos;Mediana - Baixo Alentejo - Apartamentos;3ß Quartil - Baixo Alentejo - Apartamentos;1ß Quartil - Lez°ria do Tejo - Apartamentos;Mediana - Lez°ria do Tejo - Apartamentos;3ß Quartil - Lez°ria do Tejo - Apartamentos;1ß Quartil - Alto Alentejo - Apartamentos;Mediana - Alto Alentejo - Apartamentos;3ß Quartil - Alto Alentejo - Apartamentos;1ß Quartil - Alentejo Central - Apartamentos;Mediana - Alentejo Central - Apartamentos;3ß Quartil - Alentejo Central - Apartamentos;1ß Quartil - Algarve - Apartamentos;Mediana - Algarve - Apartamentos;3ß Quartil - Algarve - Apartamentos;1ß Quartil - Regi∆o Aut¢noma dos Aáores - Apartamentos;Mediana - Regi∆o Aut¢noma dos Aáores - Apartamentos;3ß Quartil - Regi∆o Aut¢noma dos Aáores - Apartamentos;1ß Quartil - Regi∆o Aut¢noma da Madeira - Apartamentos;Mediana - Regi∆o Aut¢noma da Madeira - Apartamentos;3ß Quartil - Regi∆o Aut¢noma da Madeira - Apartamentos
jan/11;736;925;1201;732;920;1200;630;739;902;627;748;927;574;693;811;597;671;778;666;782;982;589;672;853;566;631;719;556;665;752;601;661;735;618;756;932;705;821;1019;616;757;987;711;878;1109;587;682;796;585;706;895;605;675;755;562;659;786;531;654;764;880;1072;1411;704;829;979;802;940;1121;814;893;984;654;718;841;696;766;814;827;994;1132;948;1127;1424;897;990;1130;938;1066;1255
fev/11;741;938;1244;736;931;1240;630;749;941;623;735;929;581;708;842;600;677;780;668;794;1000;599;672;828;571;631;732;574;670;819;600;669;775;617;765;974;714;829;1047;617;772;1026;691;877;1174;600;704;880;590;699;889;581;677;780;560;654;803;519;627;778;880;1083;1466;703;830;1000;802;931;1089;845;938;1143;655;717;852;683;767;839;826;956;1100;945;1132;1416;916;1024;1163;947;1126;1353
mar/11;745;949;1292;740;943;1290;629;759;965;640;765;962;555;685;854;592;672;766;667;800;1035;602;673;746;564;631;760;614;722;910;598;672;800;614;760;988;698;854;1051;618;772;1042;680;877;1185;580;669;862;581;693;870;603;689;786;545;661;830;531;631;809;877;1098;1515;704;840;1032;826;934;1131;822;941;1238;649;724;872;633;781;873;830;991;1198;945;1126;1435;923;1000;1163;945;1130;1385
abr/11;746;950;1304;742;945;1300;625;764;967;678;833;964;556;684;833;595;676;764;660;812;1047;...;...;...;546;625;746;602;738;925;579;649;847;616;765;1000;703;854;1064;637;782;1024;676;880;1146;577;659;866;579;708;900;600;701;832;551;689;802;527;606;744;871;1097;1512;709;854;1032;827;922;1139;781;943;1205;652;736;879;683;781;905;838;1000;1212;944;1135;1438;923;1003;1171;952;1164;1532
mai/11;734;933;1265;730;929;1265;615;750;943;675;834;970;538;676;830;583;671;764;649;798;1006;...;...;...;541;617;713;600;748;878;566;645;721;600;746;952;688;839;1021;618;761;998;695;882;1132;542;645;813;556;689;850;589;675;778;558;693;830;526;603;710;862;1085;1471;689;823;1003;793;915;1100;745;871;984;634;716;873;666;734;882;817;1013;1205;953;1136;1464;898;991;1198;934;1082;1333
jun/11;721;912;1204;718;907;1203;605;737;908;649;815;932;537;683;834;571;657;779;635;780;966;...;...;...;526;614;699;577;708;826;603;698;772;600;744;944;660;800;985;619;770;1000;713;894;1116;543;648;825;568;731;857;577;675;776;569;671;776;516;600;711;850;1055;1412;674;799;970;783;910;1044;766;900;984;624;701;810;636;694;790;789;941;1146;943;1129;1438;894;1005;1195;947;1075;1261
jul/11;708;902;1191;706;897;1189;600;729;907;627;756;900;533;688;870;561;636;741;634;769;971;...;...;...;511;600;689;567;665;826;599;698;767;597;738;952;658;789;991;659;797;1000;732;940;1178;528;647;833;590;726;850;543;653;717;531;641;730;520;605;706;839;1039;1400;658;787;951;787;919;1051;...;...;...;607;695;795;613;676;754;792;926;1094;932;1121;1462;908;1007;1198;955;1071;1218
ago/11;701;889;1181;698;883;1180;600;728;924;610;732;894;543;686;869;547;630;736;633;764;992;...;...;...;507;605;694;539;659;824;...;...;...;598;733;948;653;761;965;669;822;1055;724;927;1169;564;647;842;552;691;830;543;639;719;517;620;707;520;598;703;821;1027;1378;657;790;951;815;930;1052;...;...;...;599;692;783;608;670;785;806;937;1072;901;1099;1438;889;961;1153;957;1080;1193
set/11;697;882;1180;694;878;1179;600;722;913;646;714;881;554;681;836;570;658;741;637;762;992;...;...;...;483;580;683;521;660;777;...;...;...;596;733;934;659;794;1011;640;791;952;713;914;1137;556;637;787;554;723;831;...;...;...;520;618;710;536;598;696;816;1024;1396;645;783;933;796;909;1052;755;859;990;584;685;774;548;670;779;785;923;1059;915;1094;1425;...;...;...;889;1058;1255
out/11;683;869;1164;680;864;1163;595;718;895;680;789;892;556;660;813;553;649;736;621;755;968;...;...;...;484;577;675;586;688;842;585;693;844;585;704;898;640;749;929;602;742;945;665;851;1101;529;625;724;529;648;810;532;602;714;538;627;805;543;632;704;810;1019;1392;625;768;931;813;927;1095;720;850;962;584;653;768;...;...;...;736;847;1008;917;1096;1420;...;...;...;875;1048;1223
